STT,Tên chuyên ngành đào tạo,Nghiên cứu,Ứng dụng,CLC theo đặc thù đơn vị,Tổng
1,Trường Đại học Khoa học Tự nhiên,47.0,4.0,0,51.0
1,Toán giải tích,1.0,,,1.0
2,Đại số và lí thuyết số,1.0,,,1.0
3,Hình học - tôpô,1.0,,,1.0
4,Lí thuyết xác suất và thống kê toán học,1.0,,,1.0
5,Toán ứng dụng,1.0,,,1.0
6,Cơ sở toán cho tin học,1.0,,,1.0
7,Phương pháp toán sơ cấp,,1.0,,1.0
8,Cơ học vật rắn,1.0,,,1.0
9,Cơ học chất lỏng và chất khí,1.0,,,1.0
10,Vật lí lí thuyết và vật lí toán,1.0,,,1.0
11,Vật lí vô tuyến và điện tử,1.0,,,1.0
12,Vật lí nguyên tử và hạt nhân,1.0,,,1.0
13,Vật lí chất rắn,1.0,,,1.0
14,Quang học,1.0,,,1.0
15,Vật lí địa cầu,1.0,,,1.0
16,Vật lí nhiệt,1.0,,,1.0
17,Hóa vô cơ,1.0,,,1.0
18,Hóa hữu cơ,1.0,,,1.0
19,Hóa phân tích,1.0,,,1.0
20,Hóa lí thuyết và hóa lí,1.0,,,1.0
21,Kĩ thuật hóa học,1.0,,,1.0
22,Hóa môi trường,1.0,,,1.0
23,Hóa dầu,1.0,,,1.0
24,Động vật học,1.0,,,1.0
25,Thực vật học,1.0,,,1.0
26,Sinh học thực nghiệm,1.0,,,1.0
27,Vi sinh vật học,1.0,,,1.0
28,Thủy sinh vật học,1.0,,,1.0
29,Sinh thái học,1.0,,,1.0
30,Di truyền học,1.0,,,1.0
31,Công nghệ sinh học,1.0,,,1.0
32,Địa lí tự nhiên,1.0,,,1.0
33,Địa mạo và cổ địa lí,1.0,,,1.0
34,"Bản đồ, viễn thám hệ thông tin địa lí",1.0,,,1.0
35,Địa lí học,1.0,,,1.0
36,Quản lí tài nguyên và môi trường,1.0,1.0,,2.0
37,Quản lí đất đai,1.0,1.0,,2.0
38,Địa chất học,1.0,,,1.0
39,Thạch học khoáng vật và địa hóa,1.0,,,1.0
40,Địa chất môi trường,1.0,,,1.0
41,Khí tượng học,1.0,,,1.0
42,Thủy văn học,1.0,,,1.0
43,Hải dương học,1.0,,,1.0
44,Khoa học môi trường,1.0,,,1.0
45,Môi trường và phát triển bền vững,1.0,1.0,,2.0
46,Kĩ thuật môi trường,1.0,,,1.0
47,Khoa học đất,1.0,,,1.0
48,Khoa học dữ liệu,1.0,,,1.0
2,Trường Đại học Khoa học Xã hội và Nhân văn,35.0,8.0,0,43.0
1,"Lí luận, lịch sử điện ảnh, truyền hình",1.0,,,1.0
2,Việt Nam học,1.0,,,1.0
3,Lí luận văn học,1.0,,,1.0
4,Văn học Việt Nam,1.0,,,1.0
5,Văn học dân gian,1.0,,,1.0
6,Văn học nước ngoài,1.0,,,1.0
7,Hán Nôm,1.0,,,1.0
8,Ngôn ngữ học,1.0,,,1.0
9,Triết học,1.0,,,1.0
10,Chủ nghĩa xã hội khoa học,1.0,,,1.0
11,Tôn giáo học,1.0,1.0,,2.0
12,Xã hội học,1.0,,,1.0
13,Tâm lí học,1.0,,,1.0
14,Tâm lí học lâm sàng,1.0,,,1.0
15,Chính trị học,1.0,1.0,,2.0
16,Hồ Chí Minh học,1.0,,,1.0
17,Lịch sử thế giới,1.0,,,1.0
18,Lịch sử Việt Nam,1.0,,,1.0
19,Lịch sử Đảng Cộng sản Việt nam,1.0,,,1.0
20,Lịch sử sử học và sử liệu học,1.0,,,1.0
21,Khảo cổ học,1.0,,,1.0
22,Lịch sử văn hóa Việt Nam,1.0,,,1.0
23,Châu Á học,1.0,,,1.0
24,Quan hệ quốc tế,1.0,,,1.0
25,Nhân học,1.0,,,1.0
26,Báo chí học,1.0,1.0,,2.0
27,Khoa học Thông tin – Thư viện,1.0,1.0,,2.0
28,Lưu trữ học,1.0,1.0,,2.0
29,Quản trị văn phòng,1.0,,,1.0
30,Quản lí khoa học và công nghệ,1.0,1.0,,2.0
31,Du lịch,1.0,,,1.0
32,Khoa học quản lí,1.0,,,1.0
33,Công tác xã hội,1.0,1.0,,2.0
34,Chính sách công,1.0,,,1.0
35,Quản lí văn hóa,1.0,,,1.0
36,Quản trị báo chí truyền thông,,1.0,,1.0
3,Trường Đại học Ngoại ngữ,11.0,9.0,0,20.0
1,Ngôn ngữ Anh,1.0,1.0,,2.0
2,Lí luận và phương pháp dạy học bộ môn Tiếng Anh,1.0,1.0,,2.0
3,Ngôn ngữ Nga,1.0,1.0,,2.0
4,Lí luận và phương pháp dạy học bộ môn Tiếng Nga,1.0,1.0,,2.0
5,Ngôn ngữ Pháp,1.0,1.0,,2.0
6,Lí luận và phương pháp dạy học bộ môn Tiếng Pháp,1.0,1.0,,2.0
7,Ngôn ngữ Trung Quốc,1.0,1.0,,2.0
8,Lí luận và phương pháp dạy học bộ môn Tiếng Trung Quốc,1.0,1.0,,2.0
9,Ngôn ngữ Nhật,1.0,,,1.0
10,Ngôn ngữ Đức,1.0,,,1.0
11,Ngôn ngữ Hàn Quốc,1.0,1.0,,2.0
4,Trường Đại học Công nghệ,12.0,0.0,0,12.0
1,Khoa học máy tính,1.0,,,1.0
2,Kĩ thuật phần mềm,1.0,,,1.0
3,Mạng máy tính và truyền thông dữ liệu,1.0,,,1.0
4,Hệ thống thông tin,1.0,,,1.0
5,Kĩ thuật điện tử,1.0,,,1.0
6,Kĩ thuật viễn thông,1.0,,,1.0
7,Cơ kĩ thuật,1.0,,,1.0
8,Kĩ thuật cơ điện tử,1.0,,,1.0
9,Vật liệu và linh kiện nano,1.0,,,1.0
10,Công nghệ nano sinh học,1.0,,,1.0
11,Quản lí hệ thống thông tin,1.0,,,1.0
12,An toàn thông tin,1.0,,,1.0
5,Trường Đại học Kinh tế,8.0,6.0,2,14.0
1,Kinh tế chính trị,1.0,1.0,,2.0
2,Kinh tế quốc tế,1.0,1.0,,2.0
3,Quản trị kinh doanh,1.0,1.0,,2.0
4,Tài chính – Ngân hàng,1.0,1.0,,2.0
5,Quản lí kinh tế,1.0,,,1.0
6,Kinh tế biển,1.0,,x,1.0
7,Quản trị các tổ chức tài chính,1.0,,x,1.0
8,Quản lí công (chương trình liên kết đào tạo quốc tế do ĐHQGHN cấp bằng),1.0,,,1.0
9,Chính sách công và phát triển,,1.0,,1.0
10,Kế toán,,1.0,,1.0
6,Trường Đại học Giáo dục,11.0,4.0,0,15.0
1,Lí luận và phương pháp dạy học bộ môn Toán,1.0,,,1.0
2,Lí luận và phương pháp dạy học bộ môn Vật lí,1.0,,,1.0
3,Lí luận và phương pháp dạy học bộ môn Hóa học,1.0,,,1.0
4,Lí luận và phương pháp dạy học bộ môn Sinh học,1.0,,,1.0
5,Lí luận và phương pháp dạy học bộ môn Ngữ văn,1.0,,,1.0
6,Lí luận và phương pháp dạy học bộ môn Lịch sử,1.0,,,1.0
7,Quản lí giáo dục,1.0,1.0,,2.0
8,Tâm lí học lâm sàng trẻ em và vị thành niên,1.0,,,1.0
9,Đo lường và đánh giá trong giáo dục,1.0,1.0,,2.0
10,Quản trị trường học,1.0,1.0,,2.0
11,Tham vấn học đường,1.0,1.0,,2.0
7,Trường Đại học Việt Nhật,8.0,0.0,0,8.0
1,Quản trị kinh doanh,1.0,,,1.0
2,Kĩ thuật môi trường,1.0,,,1.0
3,Chính sách công,1.0,,,1.0
4,Kĩ thuật hạ tầng,1.0,,,1.0
5,Công nghệ nano,1.0,,,1.0
6,Khu vực học,1.0,,,1.0
7,Biến đổi khí hậu và phát triển,1.0,,,1.0
8,Lãnh đạo toàn cầu,1.0,,,1.0
