STT,Đơn vị,Đại học chính quy,Vừa làm vừa học,Bằng kép
1,Trường ĐH Khoa học Tự nhiên,2.315,-,-
2,Trường ĐH Khoa học Xã hội & Nhân văn,2.65,200,250
3,Trường ĐH Ngoại ngữ,2.4,650,350
4,Trường ĐH Công nghệ,3.9,-,-
5,Trường ĐH Kinh tế,2.5,-,-
6,Trường ĐH Giáo dục,1.3,300,-
7,Trường ĐH Việt Nhật,450.0,-,-
8,Trường ĐH Y Dược,720.0,-,-
9,Trường ĐH Luật,1.1,350,200
10,Trường Quản trị và Kinh doanh,500.0,-,-
11,Trường Quốc tế,1.35,-,10
12,Trường Khoa học liên ngành và nghệ thuật,1.1,-,-
Tổng cộng,Tổng cộng,20.285,1.500,810
