STT,Mã ngành,Tên ngành,Tổ hợp,Ghi chú
1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước
1,7310101,Ngành Kinh tế,,
2,7310105,Ngành Kinh tế phát triển,,
3,7310106,Ngành Kinh tế quốc tế,,
4,7340101,Ngành Quản trị kinh doanh,,
5,7340201,Ngành Tài chính – Ngân hàng,,
6,7340301,Ngành Kế toán,,
2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài
7,734010121,Ngành Quản trị kinh doanh (do ĐH Troy – Hoa Kỳ cấp bằng),,
8,734010122,Ngành Quản trị kinh doanh (do ĐH St. Francis – Hoa Kỳ cấp bằng),,
